name,description,PCS/SET/DOZ,PRICE PER,,PRICE,PRICE ,UNIT,,,price,,,isHidden,shopId,categoryId
Basin Rocky 50 (Colour),( 1 * 36 pcs ),36,"  77,186 ","  13,894 ","  91,080 ","  2,530 ",PC,  0.15 ,"  13,662 ","104,742.00","  13,662 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Tyre 45 - colour,( 1 * 30 pcs ),30,"  61,017 ","  10,983 ","  72,000 ","  2,400 ",PC,  0.15 ,"  10,800 ","82,800.00","  10,800 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Tyre 45- Black ,( 1 * 30 pcs ),30,"  58,475 ","  10,525 ","  69,000 ","  2,300 ",PC,  0.15 ,"  10,350 ","79,350.00","  10,350 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Tyre 51- colour ,( 1 * 24 pcs ),24,"  73,831 ","  13,289 ","  87,120 ","  3,630 ",PC,  0.15 ,"  13,068 ","100,188.00","  13,068 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Tyre 51- Black ,( 1 * 24 pcs ),24,"  71,186 ","  12,814 ","  84,000 ","  3,500 ",PC,  0.15 ,"  12,600 ","96,600.00","  12,600 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Tyre 51- New colour virgin,( 1 * 24 pcs ),24,"  95,593 ","  17,207 ","  112,800 ","  4,700 ",PC,  0.15 ,"  16,920 ","129,720.00","  16,920 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Zabibu (Colour),( 1 * 30 pcs ),30,"  66,102 ","  11,898 ","  78,000 ","  2,600 ",PC,  0.15 ,"  11,700 ","89,700.00","  11,700 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Basin Zabibu (D/Colour),( 1 * 30 pcs ),30,"  88,983 ","  16,017 ","  105,000 ","  3,500 ",PC,  0.15 ,"  15,750 ","120,750.00","  15,750 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Bingwa basin 60 (Colour),( 1 * 12 pcs ),12,"  67,119 ","  12,081 ","  79,200 ","  6,600 ",PC,  0.15 ,"  11,880 ","91,080.00","  11,880 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Bingwa basin 45,( 1 * 36 pcs ),36,"  100,678 ","  18,122 ","  118,800 ","  3,300 ",PC,  0.15 ,"  17,820 ","136,620.00","  17,820 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Bingwa basin 80 (Colour),( 1 * 10 pcs ),10,"  74,576 ","  13,424 ","  88,000 ","  8,800 ",PC,  0.15 ,"  13,200 ","101,200.00","  13,200 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Delux Basin - 1 (Colour),(1 * 36 pcs),36,"  76,271 ","  13,729 ","  90,000 "," 2,500 ",PC,  0.15 ,"  13,500 ","103,500.00","  13,500 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Delux Basin - 2 (Colour),(1 * 30 pcs),30,"  76,271 ","  13,729 ","  90,000 "," 3,000 ",PC,  0.15 ,"  13,500 ","103,500.00","  13,500 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Florida Basin small,( 1 * 48 pcs ),48,"  36,610 ","  6,590 ","  43,200 ",  900 ,PC,  0.15 ,"  6,480 ","49,680.00","  6,480 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Florida Basin small (D/Colour),( 1 * 48 pcs ),48,"  48,814 ","  8,786 ","  57,600 ","  1,200 ",PC,  0.15 ,"  8,640 ","66,240.00","  8,640 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Florida Tub (Colour),( 1 * 50 pcs ),50,"  152,542 ","  27,458 ","  180,000 ","  3,600 ",PC,  0.15 ,"  27,000 ","207,000.00","  27,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Football Basin (Colour),( 1 * 30 pcs ),30,"  63,559 ","  11,441 ","  75,000 ","  2,500 ",PC,  0.15 ,"  11,250 ","86,250.00","  11,250 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Football Basin 45 (Colour),( 1 * 50 pcs ),50,"  76,271 ","  13,729 ","  90,000 ","  1,800 ",PC,  0.15 ,"  13,500 ","103,500.00","  13,500 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Ice Basin - Colour,( 1 * 40 pcs ),40,"  50,847 ","  9,153 ","  60,000 ","  1,500 ",PC,  0.15 ,"  9,000 ","69,000.00","  9,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Ice Basin - D/Colour,( 1 * 40 pcs ),40,"  54,237 ","  9,763 ","  64,000 ","  1,600 ",PC,  0.15 ,"  9,600 ","73,600.00","  9,600 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Jumbo Basin 1 (Colour),( 1 * 14 pcs ),14,"  57,424 ","  10,336 ","  67,760 ","  4,840 ",PC,  0.15 ,"  10,164 ","77,924.00","  10,164 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Jumbo Basin 2 (Colour),( 1 * 30 pcs ),30,"  45,763 ","  8,237 ","  54,000 ","  1,800 ",PC,  0.15 ,"  8,100 ","62,100.00","  8,100 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Jumbo Basin 2 (D/Colour),( 1 * 30 pcs ),30,"  61,017 ","  10,983 ","  72,000 ","  2,400 ",PC,  0.15 ,"  10,800 ","82,800.00","  10,800 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Lion Tub (Colour),( 1 * 16 pcs ),16,"  70,508 ","  12,692 ","  83,200 ","  5,200 ",PC,  0.15 ,"  12,480 ","95,680.00","  12,480 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Oval Basin 18 Litres (Colour),( 1 * 32 pcs ),32,"  89,492 ","  16,108 ","  105,600 ","  3,300 ",PC,  0.15 ,"  15,840 ","121,440.00","  15,840 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Oval Basin 25 Litres (Colour),( 1 * 16 pcs ),16,"  82,712 ","  14,888 ","  97,600 ","  6,100 ",PC,  0.15 ,"  14,640 ","112,240.00","  14,640 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Pambo Basin (Colour),(1 * 288 pcs),288,"  134,237 ","  24,163 ","  158,400 ", 550 ,PC,  0.15 ,"  23,760 ","182,160.00","  23,760 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Pambo Basin (D/Colour),(1 * 72 pcs),72,"  36,610 ","  6,590 ","  43,200 ", 600 ,PC,  0.15 ,"  6,480 ","49,680.00","  6,480 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rainbow basin 1 (Colour),( 1 * 96 pcs ),96,"  32,542 ","  5,858 ","  38,400 ",  400 ,PC,  0.15 ,"  5,760 ","44,160.00","  5,760 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rainbow basin 2 (Colour),( 1 * 72 pcs ),72,"  33,559 ","  6,041 ","  39,600 ",  550 ,PC,  0.15 ,"  5,940 ","45,540.00","  5,940 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
